"sex","height","weight","bmi"
"Male",169,78.4,27.5
"Male",176,80.5,26
"Male",178,91.1,28.8
"Male",170,76.1,26.3
"Male",168,70,24.8
"Male",174,80.7,26.7
"Male",178,83.4,26.3
"Male",175,81.3,26.5
"Male",172,71.9,24.3
"Male",168,75.5,26.8
"Male",176,78,25.2
"Male",172,79.1,26.7
"Male",176,85.2,27.5
"Male",173,91.4,30.5
"Male",182,93,28.1
"Male",176,81.1,26.2
"Male",171,74.4,25.4
"Male",187,101.3,29
"Male",177,92.1,29.4
"Male",174,85.9,28.4
"Male",172,80.8,27.3
"Male",182,101.3,30.6
"Male",162,75.8,28.9
"Male",175,81.9,26.7
"Male",170,74.6,25.8
"Male",159,68,26.9
"Male",184,87.5,25.8
"Male",180,91.6,28.3
"Male",172,81.6,27.6
"Male",180,89.1,27.5
"Male",176,85.1,27.5
"Male",168,77.9,27.6
"Male",171,87,29.8
"Male",167,75.2,27
"Male",181,84.2,25.7
"Male",174,80.9,26.7
"Male",163,68.5,25.8
"Male",180,95.2,29.4
"Male",173,79,26.4
"Male",174,81.6,27
"Male",173,76.1,25.4
"Male",173,83,27.7
"Male",175,76.9,25.1
"Male",168,78.7,27.9
"Male",168,82.1,29.1
"Male",171,83.2,28.5
"Male",176,93.4,30.2
"Male",179,83.4,26
"Male",181,91.6,28
"Male",180,98,30.2
"Male",168,72.3,25.6
"Male",184,95.4,28.2
"Male",171,81,27.7
"Male",166,66.6,24.2
"Male",180,88.9,27.4
"Male",178,77.2,24.4
"Male",164,77,28.6
"Male",176,90,29.1
"Male",175,81.6,26.6
"Male",157,66.8,27.1
"Male",174,80.3,26.5
"Male",166,84.1,30.5
"Male",163,80.5,30.3
"Male",175,77,25.1
"Male",184,90.1,26.6
"Male",171,92.2,31.5
"Male",171,87.6,30
"Male",165,80.8,29.7
"Male",168,73.8,26.1
"Male",172,72.3,24.4
"Male",166,78.1,28.3
"Male",177,91.6,29.2
"Male",174,77.3,25.5
"Male",183,93.2,27.8
"Male",173,77,25.7
"Male",183,90.9,27.1
"Male",168,81,28.7
"Male",169,76.2,26.7
"Male",172,80.6,27.2
"Male",173,87.7,29.3
"Male",165,73.7,27.1
"Male",171,83.2,28.5
"Male",173,82.1,27.4
"Male",177,95.6,30.5
"Male",169,75.1,26.3
"Male",169,89,31.2
"Male",183,91.6,27.4
"Male",173,77.3,25.8
"Male",178,91.6,28.9
"Male",183,87.7,26.2
"Male",167,81.6,29.3
"Male",170,71,24.6
"Male",195,106.6,28
"Male",184,104.6,30.9
"Male",177,92.5,29.5
"Male",185,99,28.9
"Male",184,101,29.8
"Male",184,94.6,27.9
"Male",171,82,28
"Male",193,105.2,28.2
"Male",168,77.4,27.4
"Male",181,85.4,26.1
"Male",181,88.9,27.1
"Male",183,97.3,29.1
"Male",191,101.7,27.9
"Male",164,71.9,26.7
"Male",164,75.5,28.1
"Male",161,72.6,28
"Male",172,79.9,27
"Male",167,79.1,28.4
"Male",180,88,27.2
"Male",172,84.8,28.7
"Male",174,78.7,26
"Male",179,87.7,27.4
"Male",184,94.5,27.9
"Male",180,93.5,28.9
"Male",167,78.3,28.1
"Male",190,105.5,29.2
"Male",172,80.4,27.2
"Male",171,79.7,27.3
"Male",182,96.4,29.1
"Male",164,75.7,28.1
"Male",173,89.1,29.8
"Male",170,75,26
"Male",170,80.1,27.7
"Male",172,79.2,26.8
"Male",176,88.6,28.6
"Male",178,93.3,29.4
"Male",165,71.8,26.4
"Male",172,76.7,25.9
"Male",161,61.5,23.7
"Male",182,99,29.9
"Male",169,70.7,24.8
"Male",183,91.4,27.3
"Male",193,107,28.7
"Male",182,88.6,26.7
"Male",171,80.1,27.4
"Male",179,90,28.1
"Male",177,84.2,26.9
"Male",173,80.4,26.9
"Male",188,97.9,27.7
"Male",176,84.8,27.4
"Male",169,77.8,27.2
"Male",169,78.4,27.5
"Male",171,76.3,26.1
"Male",175,74.3,24.3
"Male",180,86.2,26.6
"Male",166,71.2,25.8
"Male",166,78.3,28.4
"Male",172,76.7,25.9
"Male",187,104.9,30
"Male",182,94,28.4
"Male",172,78.1,26.4
"Male",173,90.6,30.3
"Male",167,76.2,27.3
"Male",182,89.7,27.1
"Male",176,89.3,28.8
"Male",174,81.7,27
"Male",180,85.8,26.5
"Male",162,71.9,27.4
"Male",181,94.8,28.9
"Male",168,84.9,30.1
"Male",165,71.5,26.3
"Male",173,82.4,27.5
"Male",180,92.9,28.7
"Male",189,104.8,29.3
"Male",176,84.5,27.3
"Male",165,82.1,30.2
"Male",174,90.2,29.8
"Male",180,92.2,28.5
"Male",156,73,30
"Male",174,86.1,28.4
"Male",183,90.8,27.1
"Male",184,100.6,29.7
"Male",181,97.1,29.6
"Male",184,91.5,27
"Male",172,84.9,28.7
"Male",184,89.1,26.3
"Male",159,68.8,27.2
"Male",168,75.9,26.9
"Male",177,90.2,28.8
"Male",176,81.1,26.2
"Male",180,87.8,27.1
"Male",175,89.7,29.3
"Male",168,83.7,29.7
"Male",169,70.4,24.6
"Male",169,73,25.6
"Male",173,85.8,28.7
"Male",179,78.5,24.5
"Male",176,88.9,28.7
"Male",180,97.9,30.2
"Male",166,75.6,27.4
"Male",190,108.6,30.1
"Male",181,83.6,25.5
"Male",176,90.7,29.3
"Male",178,86.8,27.4
"Male",164,76.7,28.5
"Male",172,88.3,29.8
"Male",172,83.1,28.1
"Male",190,95.4,26.4
"Male",181,89.8,27.4
"Male",170,78.3,27.1
"Male",177,89.4,28.5
"Male",174,86.4,28.5
"Male",173,83.7,28
"Male",174,81.6,27
"Male",166,72.3,26.2
"Male",178,89.8,28.3
"Male",181,98.6,30.1
"Male",174,85.2,28.1
"Male",166,80.2,29.1
"Male",172,84,28.4
"Male",189,101.3,28.4
"Male",181,93.9,28.7
"Male",171,77.6,26.5
"Male",172,79.5,26.9
"Male",171,78.6,26.9
"Male",175,82.2,26.8
"Male",182,91.9,27.7
"Male",176,90.7,29.3
"Male",187,101.4,29
"Male",176,99.5,32.1
"Male",180,95.8,29.6
"Male",182,91.1,27.5
"Male",176,94.7,30.6
"Male",166,73.2,26.6
"Male",180,94.3,29.1
"Male",174,82,27.1
"Male",174,80.2,26.5
"Male",176,88.3,28.5
"Male",167,73.9,26.5
"Male",174,78.6,26
"Male",188,97.8,27.7
"Male",181,95.3,29.1
"Male",169,83.9,29.4
"Male",182,85.3,25.8
"Male",177,85.4,27.3
"Male",170,81.4,28.2
"Male",177,96,30.6
"Male",179,89.7,28
"Male",175,84.5,27.6
"Male",164,75.3,28
"Male",180,85.6,26.4
"Male",164,73.2,27.2
"Male",177,87.8,28
"Male",182,85.9,25.9
"Male",174,94.2,31.1
"Male",180,90.4,27.9
"Male",181,95.2,29.1
"Male",176,81.7,26.4
"Male",183,89,26.6
"Male",176,85.9,27.7
"Male",168,75.1,26.6
"Male",171,82.7,28.3
"Male",180,86,26.5
"Male",176,86,27.8
"Male",171,77.2,26.4
"Male",185,98,28.6
"Male",179,80.3,25.1
"Male",175,88.9,29
"Male",170,76.1,26.3
"Male",176,81.5,26.3
"Male",186,100.1,28.9
"Male",171,74.5,25.5
"Male",165,71,26.1
"Male",172,83.3,28.2
"Male",172,77.2,26.1
"Male",169,76.5,26.8
"Male",185,95.1,27.8
"Male",177,88.6,28.3
"Male",180,88.1,27.2
"Male",178,99.5,31.4
"Male",182,93.1,28.1
"Male",172,81.1,27.4
"Male",173,82.4,27.5
"Male",174,92.3,30.5
"Male",175,74.9,24.5
"Male",175,89.8,29.3
"Male",171,78.6,26.9
"Male",175,83.4,27.2
"Male",167,63.3,22.7
"Male",164,72.7,27
"Male",168,74.2,26.3
"Male",170,88,30.4
"Male",170,86.1,29.8
"Male",180,83.6,25.8
"Male",174,86.5,28.6
"Male",172,85.4,28.9
"Male",192,102.6,27.8
"Male",179,89.8,28
"Male",175,86.4,28.2
"Male",173,79.9,26.7
"Male",165,80.6,29.6
"Male",167,78.8,28.3
"Male",176,95.5,30.8
"Male",167,77.2,27.7
"Male",172,78.7,26.6
"Male",176,83.9,27.1
"Male",173,88.1,29.4
"Male",157,67.7,27.5
"Male",171,87.3,29.9
"Male",172,81.5,27.5
"Male",178,92,29
"Male",166,74.1,26.9
"Male",183,98.4,29.4
"Male",168,83.1,29.4
"Male",167,75.6,27.1
"Male",185,93.1,27.2
"Male",180,86,26.5
"Male",181,99.1,30.2
"Male",180,92.1,28.4
"Male",157,63.5,25.8
"Male",175,89,29.1
"Male",172,81.6,27.6
"Male",171,74.5,25.5
"Male",167,76.3,27.4
"Male",174,86.1,28.4
"Male",177,88.5,28.2
"Male",169,86.4,30.3
"Male",177,92.7,29.6
"Male",174,89,29.4
"Male",182,95.1,28.7
"Male",177,86.6,27.6
"Male",180,89.8,27.7
"Male",173,84.7,28.3
"Male",179,85.6,26.7
"Male",182,80,24.2
"Male",185,95,27.8
"Male",154,61.8,26.1
"Male",175,86.6,28.3
"Male",176,86.8,28
"Male",172,83.9,28.4
"Male",193,105.4,28.3
"Male",183,91.5,27.3
"Male",175,85.4,27.9
"Male",166,79.2,28.7
"Male",167,83.4,29.9
"Male",179,85.1,26.6
"Male",186,97,28
"Male",174,79.5,26.3
"Male",174,76.9,25.4
"Male",162,65.6,25
"Male",171,79.7,27.3
"Male",180,89.4,27.6
"Male",187,101.1,28.9
"Male",168,75,26.6
"Male",172,77.3,26.1
"Male",181,98.3,30
"Male",170,78.8,27.3
"Male",186,98.8,28.6
"Male",162,73,27.8
"Male",176,87.9,28.4
"Male",177,80.3,25.6
"Male",179,92.9,29
"Male",175,80.2,26.2
"Male",174,87.4,28.9
"Male",168,75.7,26.8
"Male",176,84.7,27.3
"Male",175,85.5,27.9
"Male",187,94.5,27
"Male",168,73.3,26
"Male",187,97.5,27.9
"Male",177,93,29.7
"Male",169,83.1,29.1
"Male",185,94.8,27.7
"Male",173,94.3,31.5
"Male",183,95.6,28.5
"Male",180,92.7,28.6
"Male",170,88.5,30.6
"Male",174,86.5,28.6
"Male",181,90.6,27.7
"Male",165,75.7,27.8
"Male",170,81.1,28.1
"Male",175,84.3,27.5
"Male",175,87.9,28.7
"Male",181,103.8,31.7
"Male",175,87.2,28.5
"Male",169,79.8,27.9
"Male",174,79.9,26.4
"Male",171,80.5,27.5
"Male",181,91.5,27.9
"Male",174,80.2,26.5
"Male",177,84.2,26.9
"Male",177,85.3,27.2
"Male",184,85.9,25.4
"Male",166,75.3,27.3
"Male",168,77.2,27.4
"Male",178,96.5,30.5
"Male",181,89,27.2
"Male",178,91.8,29
"Male",181,91.3,27.9
"Male",164,71.9,26.7
"Male",175,79.1,25.8
"Male",174,83.4,27.5
"Male",176,85.3,27.5
"Male",176,79.9,25.8
"Male",177,88.1,28.1
"Male",185,88.1,25.7
"Male",158,66.2,26.5
"Male",175,87,28.4
"Male",181,95.2,29.1
"Male",183,91.3,27.3
"Male",183,94.7,28.3
"Male",171,82.9,28.4
"Male",173,75.5,25.2
"Male",180,87.7,27.1
"Male",166,80.9,29.4
"Male",178,93.4,29.5
"Male",182,90.4,27.3
"Male",173,87.1,29.1
"Male",174,79.5,26.3
"Male",168,77.1,27.3
"Male",182,93.1,28.1
"Male",187,88.9,25.4
"Male",181,94.4,28.8
"Male",180,92,28.4
"Male",182,85.5,25.8
"Male",161,73.7,28.4
"Male",173,82.9,27.7
"Male",167,71.4,25.6
"Male",174,81,26.8
"Male",177,84.9,27.1
"Male",175,77.8,25.4
"Male",178,91,28.7
"Male",175,88,28.7
"Male",163,70.5,26.5
"Male",179,87.3,27.2
"Male",174,72.5,23.9
"Male",177,79.9,25.5
"Male",175,77.9,25.4
"Male",171,82.4,28.2
"Male",168,77.7,27.5
"Male",174,81.3,26.9
"Male",176,85,27.4
"Male",177,82.6,26.4
"Male",185,97.3,28.4
"Male",191,94.6,25.9
"Male",180,86.3,26.6
"Male",189,98.5,27.6
"Male",163,70.8,26.6
"Male",181,93.6,28.6
"Male",171,80.8,27.6
"Male",189,103.8,29.1
"Male",162,79.1,30.1
"Male",175,74.5,24.3
"Male",183,96.2,28.7
"Male",174,93.4,30.8
"Male",165,75.9,27.9
"Male",176,88.5,28.6
"Male",183,94.9,28.3
"Male",171,82.7,28.3
"Male",176,86.3,27.9
"Male",162,72.7,27.7
"Male",154,58.6,24.7
"Male",179,88.7,27.7
"Male",172,84.7,28.6
"Male",190,103.2,28.6
"Male",179,89.4,27.9
"Male",183,95.1,28.4
"Male",188,95.1,26.9
"Male",180,100,30.9
"Male",164,76.8,28.6
"Male",174,84.3,27.8
"Male",182,87.4,26.4
"Male",170,80.3,27.8
"Male",180,90.7,28
"Male",166,76.5,27.8
"Male",157,56,22.7
"Male",159,72.7,28.8
"Male",172,89.4,30.2
"Male",177,73.5,23.5
"Male",184,91.5,27
"Male",179,88.4,27.6
"Male",169,73.7,25.8
"Male",181,79.7,24.3
"Male",182,95,28.7
"Male",186,92.7,26.8
"Male",175,95.6,31.2
"Male",168,76.8,27.2
"Male",188,101.3,28.7
"Male",176,87.5,28.2
"Male",176,78.4,25.3
"Male",180,86.9,26.8
"Male",161,71.3,27.5
"Male",177,82.9,26.5
"Male",166,68.9,25
"Male",178,87.7,27.7
"Male",177,84.1,26.8
"Male",181,88.6,27
"Male",179,79,24.7
"Male",167,74.7,26.8
"Male",171,74.3,25.4
"Male",167,79.3,28.4
"Male",187,96.6,27.6
"Male",172,78.4,26.5
"Male",166,78,28.3
"Male",181,88.9,27.1
"Male",167,79.3,28.4
"Male",167,79.2,28.4
"Male",157,63.6,25.8
"Male",188,97.8,27.7
"Male",184,97.9,28.9
"Male",179,83.6,26.1
"Male",170,76.3,26.4
"Male",167,68.7,24.6
"Male",171,84.4,28.9
"Male",178,92.2,29.1
"Male",190,101.6,28.1
"Male",164,67.3,25
"Male",178,94,29.7
"Male",182,93.1,28.1
"Male",185,95,27.8
"Male",186,90.3,26.1
"Male",169,74.9,26.2
"Male",169,82,28.7
"Male",176,91.8,29.6
"Male",173,88.6,29.6
"Male",179,83.6,26.1
"Male",177,85.5,27.3
"Male",166,71.3,25.9
"Male",176,89.2,28.8
"Male",187,94.5,27
"Male",167,71.8,25.7
"Male",174,83.7,27.6
"Male",179,89.8,28
"Male",183,92,27.5
"Male",182,90.3,27.3
"Male",167,70.9,25.4
"Male",162,76.3,29.1
"Male",179,91.4,28.5
"Male",167,79.2,28.4
"Male",177,89.3,28.5
"Male",174,89.7,29.6
"Male",172,75.1,25.4
"Male",191,105.6,28.9
"Male",186,87.4,25.3
"Male",177,87.2,27.8
"Male",164,71.3,26.5
"Male",172,74.2,25.1
"Male",186,93.1,26.9
"Male",169,77.8,27.2
"Male",188,94.8,26.8
"Male",180,95.1,29.4
"Male",182,93.6,28.3
"Male",167,80.4,28.8
"Male",178,96,30.3
"Male",157,67.8,27.5
"Male",190,99.9,27.7
"Male",182,87.3,26.4
"Male",171,74.1,25.3
"Male",180,90.6,28
"Male",191,99.1,27.2
"Male",186,101.2,29.3
"Male",179,98.9,30.9
"Male",171,77.7,26.6
"Male",170,66.9,23.1
"Male",177,77.1,24.6
"Male",166,73,26.5
"Male",174,84,27.7
"Male",175,80.3,26.2
"Male",173,85.7,28.6
"Male",176,72.2,23.3
"Male",174,85.3,28.2
"Male",167,68.5,24.6
"Male",176,78.2,25.2
"Male",168,75.5,26.8
"Male",180,84.5,26.1
"Male",168,85.1,30.2
"Male",165,74.3,27.3
"Male",174,89.3,29.5
"Male",177,86,27.5
"Male",169,85.7,30
"Male",176,80.4,26
"Male",175,83.5,27.3
"Male",187,100.4,28.7
"Male",194,98.8,26.3
"Male",181,90.3,27.6
"Male",164,74.6,27.7
"Male",169,74.1,25.9
"Male",176,85.1,27.5
"Male",161,68.2,26.3
"Male",177,91.9,29.3
"Male",174,82.4,27.2
"Male",182,93.7,28.3
"Male",177,92.5,29.5
"Male",187,105.1,30.1
"Male",173,88.5,29.6
"Male",184,90.8,26.8
"Male",180,88.6,27.3
"Male",179,85.3,26.6
"Male",175,88.3,28.8
"Male",176,89.5,28.9
"Male",171,70.9,24.2
"Male",182,94.2,28.4
"Male",175,78,25.5
"Male",181,98.4,30
"Male",178,86.4,27.3
"Male",180,93.5,28.9
"Male",174,91.2,30.1
"Male",181,93.7,28.6
"Male",166,72.1,26.2
"Male",180,94.4,29.1
"Male",177,85.2,27.2
"Male",162,76.4,29.1
"Male",179,89.3,27.9
"Male",179,93.2,29.1
"Male",171,74.6,25.5
"Male",170,75.8,26.2
"Male",174,76.7,25.3
"Male",177,83.6,26.7
"Male",159,76.3,30.2
"Male",176,83.5,27
"Male",170,78.1,27
"Male",191,99.2,27.2
"Male",178,86,27.1
"Male",181,89.2,27.2
"Male",177,82.4,26.3
"Male",169,79.6,27.9
"Male",180,94.7,29.2
"Male",162,73.8,28.1
"Male",179,86.8,27.1
"Male",171,87.4,29.9
"Male",181,96.8,29.5
"Male",174,85,28.1
"Male",181,92.3,28.2
"Male",180,86.2,26.6
"Male",181,89.5,27.3
"Male",179,87.7,27.4
"Male",189,102.8,28.8
"Male",161,84,32.4
"Male",174,77.7,25.7
"Male",171,79.4,27.2
"Male",180,89,27.5
"Male",170,88.3,30.6
"Male",172,83.7,28.3
"Male",174,81.4,26.9
"Male",174,87.4,28.9
"Male",179,89.5,27.9
"Male",170,74.5,25.8
"Male",166,75.9,27.5
"Male",178,84.3,26.6
"Male",174,88,29.1
"Male",180,93.4,28.8
"Male",193,106.8,28.7
"Male",173,80.3,26.8
"Male",177,90.3,28.8
"Male",177,91,29
"Male",182,97.1,29.3
"Male",180,91.5,28.2
"Male",166,65.4,23.7
"Male",180,91.9,28.4
"Male",173,83.4,27.9
"Male",179,90.5,28.2
"Male",176,79.9,25.8
"Male",182,88.4,26.7
"Male",178,92.3,29.1
"Male",169,75.6,26.5
"Male",179,94.1,29.4
"Male",159,69.3,27.4
"Male",169,66.3,23.2
"Male",166,71.1,25.8
"Male",182,95.2,28.7
"Male",176,83.4,26.9
"Male",178,91.1,28.8
"Male",167,74.5,26.7
"Male",164,70.1,26.1
"Male",174,85.9,28.4
"Male",177,80.1,25.6
"Male",171,78.6,26.9
"Male",173,84,28.1
"Male",177,92.4,29.5
"Male",167,82.6,29.6
"Male",186,91.5,26.4
"Male",169,80.7,28.3
"Male",176,91.9,29.7
"Male",168,84.5,29.9
"Male",171,84.1,28.8
"Male",166,79.8,29
"Male",185,95.1,27.8
"Male",174,81.4,26.9
"Male",168,75,26.6
"Male",184,89.9,26.6
"Male",172,83.9,28.4
"Male",179,90.8,28.3
"Male",181,90.5,27.6
"Male",176,91.8,29.6
"Male",178,91.6,28.9
"Male",176,89.5,28.9
"Male",161,71.2,27.5
"Male",172,83.2,28.1
"Male",186,92.1,26.6
"Male",186,88,25.4
"Male",180,88.7,27.4
"Male",183,97.5,29.1
"Male",183,83.5,24.9
"Male",181,87.9,26.8
"Male",168,77.2,27.4
"Male",184,93.3,27.6
"Male",173,75.4,25.2
"Male",181,90,27.5
"Male",167,77,27.6
"Male",170,72.6,25.1
"Male",183,93,27.8
"Male",160,67.1,26.2
"Male",177,82.1,26.2
"Male",179,98.8,30.8
"Male",173,85.9,28.7
"Male",177,79.9,25.5
"Male",158,59.1,23.7
"Male",167,72.3,25.9
"Male",180,87.1,26.9
"Male",177,82.6,26.4
"Male",171,85.4,29.2
"Male",172,87,29.4
"Male",169,73.8,25.8
"Male",177,89.6,28.6
"Male",165,82.8,30.4
"Male",188,90.7,25.7
"Male",173,83.6,27.9
"Male",170,75.1,26
"Male",175,80.1,26.2
"Male",194,103.8,27.6
"Male",175,81.8,26.7
"Male",187,102.5,29.3
"Male",177,86.1,27.5
"Male",183,91.7,27.4
"Male",179,81.2,25.3
"Male",170,75.8,26.2
"Male",168,78.3,27.7
"Male",174,81.6,27
"Male",169,72.6,25.4
"Male",177,80.9,25.8
"Male",168,70.1,24.8
"Male",185,94.7,27.7
"Male",164,76.9,28.6
"Male",177,82.4,26.3
"Male",179,92.5,28.9
"Male",184,83.7,24.7
"Male",173,90.6,30.3
"Male",185,93.7,27.4
"Male",179,89.2,27.8
"Male",178,86.2,27.2
"Male",175,89.3,29.2
"Male",187,100.8,28.8
"Male",173,81.7,27.3
"Male",173,80.9,27
"Male",182,92,27.8
"Male",186,100.2,29
"Male",177,90.1,28.8
"Male",178,92.4,29.2
"Male",168,68.1,24.1
"Male",194,103,27.4
"Male",180,84.7,26.1
"Male",169,77.3,27.1
"Male",168,82.7,29.3
"Male",179,85,26.5
"Male",166,72,26.1
"Male",170,79.7,27.6
"Male",187,100.1,28.6
"Male",178,88.8,28
"Male",177,85.7,27.4
"Male",170,69.9,24.2
"Male",175,81.4,26.6
"Male",174,78.1,25.8
"Male",179,86.4,27
"Male",183,94.4,28.2
"Male",180,87,26.9
"Male",179,89.5,27.9
"Male",172,86,29.1
"Male",174,94.4,31.2
"Male",176,85.6,27.6
"Male",172,85,28.7
"Male",181,98.8,30.2
"Male",181,91.6,28
"Male",180,92.8,28.6
"Male",164,65,24.2
"Male",171,82.6,28.2
"Male",184,91.7,27.1
"Male",178,87.5,27.6
"Male",164,72.1,26.8
"Male",189,96.8,27.1
"Male",166,73.9,26.8
"Male",185,96.2,28.1
"Male",167,70.4,25.2
"Male",175,88.3,28.8
"Male",186,95,27.5
"Male",177,90,28.7
"Male",177,81.5,26
"Male",182,87.4,26.4
"Male",170,81.6,28.2
"Male",172,86.4,29.2
"Male",176,89,28.7
"Male",175,82,26.8
"Male",175,84.7,27.7
"Male",169,76.1,26.6
"Male",169,81.4,28.5
"Male",175,82.3,26.9
"Male",167,73.2,26.2
"Male",159,67.9,26.9
"Male",169,73.1,25.6
"Male",171,85,29.1
"Male",177,79.8,25.5
"Male",189,108.2,30.3
"Male",181,94.8,28.9
"Male",180,88.4,27.3
"Male",172,74.3,25.1
"Male",170,82.8,28.7
"Male",169,79.4,27.8
"Male",170,82,28.4
"Male",175,78.3,25.6
"Male",183,94.2,28.1
"Male",179,88,27.5
"Male",176,85.2,27.5
"Male",170,73.1,25.3
"Male",196,103.7,27
"Male",173,80,26.7
"Male",170,84.8,29.3
"Male",188,99.1,28
"Male",177,83.7,26.7
"Male",179,90.4,28.2
"Male",168,74.7,26.5
"Male",183,87.7,26.2
"Male",168,77.6,27.5
"Male",185,98.7,28.8
"Male",177,85.3,27.2
"Male",175,80.8,26.4
"Male",162,68.9,26.3
"Male",165,65.9,24.2
"Male",165,67,24.6
"Male",175,83.2,27.2
"Male",178,80.9,25.5
"Male",159,69.3,27.4
"Male",170,78.8,27.3
"Male",171,81.7,27.9
"Male",183,90.9,27.1
"Male",177,77.2,24.6
"Male",166,75.6,27.4
"Male",188,88.4,25
"Male",155,69.3,28.8
"Male",174,93.6,30.9
"Male",162,74.7,28.5
"Male",174,82.2,27.2
"Male",165,83.9,30.8
"Male",177,95,30.3
"Male",181,89.5,27.3
"Male",160,67.4,26.3
"Male",180,91.3,28.2
"Male",177,90.4,28.9
"Male",170,85.5,29.6
"Male",171,80.9,27.7
"Male",176,78.7,25.4
"Male",189,99.1,27.7
"Male",169,78.6,27.5
"Male",171,84.5,28.9
"Male",168,74.9,26.5
"Male",171,92.1,31.5
"Male",173,73.3,24.5
"Male",168,74.6,26.4
"Male",167,77.5,27.8
"Male",175,77.3,25.2
"Male",179,87.3,27.2
"Male",169,75.5,26.4
"Male",182,89.1,26.9
"Male",178,83.3,26.3
"Male",174,85,28.1
"Male",175,80.9,26.4
"Male",187,100.9,28.9
"Male",175,86.4,28.2
"Male",186,92.6,26.8
"Male",174,87.2,28.8
"Male",165,81.4,29.9
"Male",168,87.4,31
"Male",172,77,26
"Male",182,87.5,26.4
"Male",176,84.2,27.2
"Male",171,85.5,29.2
"Male",177,81.5,26
"Male",163,73.7,27.7
"Male",171,83.2,28.5
"Male",186,100.4,29
"Male",172,85.7,29
"Male",174,87,28.7
"Male",180,97.2,30
"Male",173,82.7,27.6
"Male",172,74.4,25.1
"Male",187,90,25.7
"Male",175,85,27.8
"Male",169,79.8,27.9
"Male",178,85.6,27
"Male",172,91.1,30.8
"Male",189,95.2,26.7
"Male",183,91.6,27.4
"Male",177,82.9,26.5
"Male",182,93.5,28.2
"Male",171,78,26.7
"Male",174,77.7,25.7
"Male",198,116,29.6
"Male",174,81.1,26.8
"Male",178,84.5,26.7
"Male",189,100.2,28.1
"Male",183,91.7,27.4
"Male",172,87.6,29.6
"Male",169,71.3,25
"Male",165,82,30.1
"Male",176,93.7,30.2
"Male",172,81.6,27.6
"Male",173,88,29.4
"Male",184,92.4,27.3
"Male",188,96,27.2
"Male",186,91.2,26.4
"Male",185,96.3,28.1
"Male",173,76.2,25.5
"Male",178,93.9,29.6
"Male",182,84.3,25.4
"Male",174,78.4,25.9
"Male",178,83.8,26.4
"Male",170,82.7,28.6
"Male",172,85.4,28.9
"Male",172,76.5,25.9
"Male",171,78.7,26.9
"Male",170,80.8,28
"Male",168,79,28
"Male",172,87.1,29.4
"Male",181,86.7,26.5
"Male",178,86,27.1
"Male",187,95.4,27.3
"Male",169,72.3,25.3
"Male",173,86.1,28.8
"Male",173,79.9,26.7
