"country","cur_name","cur_code","city","urban_class","wage_eur","cap_eur","cap_index","milk_eur"
"Denmark","Danish Krone","DKK","Aarhus","Urban",23.142037,5.618298,0.242774566473988,2.13
"Denmark","Danish Krone","DKK","Ebeltoft","Suburban",18.058815,5.618298,0.311111111111111,2.13
"Denmark","Danish Krone","DKK","Copenhagen","Urban",24.07842,5.618298,0.233333333333333,2.13
"Denmark","Danish Krone","DKK","","Urban",18.72766,5.618298,0.3,2.13
"Denmark","Danish Krone","DKK","Aarhus","Urban",18.72766,5.618298,0.3,2.13
"Denmark","Danish Krone","DKK","Copenhagen","Urban",20.06535,5.618298,0.28,2.13
"USA","US dollar","USD","New York City","Urban",17.4444,5.66943,0.325,1.06
"USA","US dollar","USD","Colorado Springs","Urban",10.46664,5.66943,0.541666666666667,1.06
"USA","US dollar","USD","","Rural",19.18884,5.66943,0.295454545454545,1.06
"USA","US dollar","USD","Wenatchee","Suburban",14.9411286,5.66943,0.379451255107998,1.06
"USA","US dollar","USD","New York City","Urban",10.46664,5.66943,0.541666666666667,1.06
"USA","US dollar","USD","Berkeley","Urban",19.62495,5.66943,0.288888888888889,1.06
"USA","US dollar","USD","Los Angeles","Urban",17.4444,5.66943,0.325,1.06
"USA","US dollar","USD","New York City","Urban",15.69996,5.66943,0.361111111111111,1.06
"USA","US dollar","USD","San Francisco","Urban",17.662455,5.66943,0.320987654320988,1.06
"Norway","Norwegian Krone","NOK","Bergen",NA,15.7226302,5.82662178,0.370588235294118,2.49
"UK","Pound Sterling","GBP","Sheffield","Urban",14.21323365,5.587512,0.393120393120393,1.69
"UK","Pound Sterling","GBP","London","Urban",17.460975,5.587512,0.32,1.69
"UK","Pound Sterling","GBP","","Rural",16.29691,5.587512,0.342857142857143,1.69
"Sweden","Swedish Krona","SEK","Malmö","Urban",15.0428495,5.309241,0.352941176470588,1.66
"Sweden","Swedish Krona","SEK","Stockholm","Suburban",10.35301995,5.309241,0.512820512820513,1.66
"Sweden","Swedish Krona","SEK","Malmö","Urban",14.24646335,5.309241,0.372670807453416,1.66
"Sweden","Swedish Krona","SEK","Malmö","Urban",14.42343805,5.309241,0.368098159509202,1.66
"Czechia","Czech Koruna","CZK","Prague","Urban",6.57328,5.546205,0.84375,1.2
"USA","US dollar","USD","Fort Myers, FL","Suburban",13.0833,5.5647636,0.425333333333333,1.06
"France","Euro","EUR","Paris","Urban",15,5.5,0.366666666666667,1.37
"Netherlands","Euro","EUR","Rotterdam",NA,14.4,5.5,0.381944444444444,1.35
"Netherlands","Euro","EUR","Rotterdam","Urban",22.5,5.5,0.244444444444444,1.35
"France","Euro","EUR","Versailles","Urban",8,5.5,0.6875,1.37
"France","Euro","EUR","Paris","Urban",12.02,5.5,0.45757071547421,1.37
"France","Euro","EUR","Paris","Urban",13,5.5,0.423076923076923,1.37
"USA","US dollar","USD","Los Angeles","Urban",17.4444,5.538597,0.3175,1.06
"Switzerland","Swiss Franc","CHF","Nyon","Urban",28.01474,5.2858,0.188679245283019,2.22
"Switzerland","Swiss Franc","CHF","Lausanne","Urban",26.429,5.2858,0.2,2.22
"UK","Pound Sterling","GBP","London","Urban",21.5352025,5.4711055,0.254054054054054,1.69
"UK","Pound Sterling","GBP","London","Urban",17.1117555,5.4711055,0.319727891156463,1.69
"Taiwan","New Taiwan Dollar","TWD","Taichung","Urban",6.0308138,5.482558,0.909090909090909,3.07
"USA","US dollar","USD","Los Angeles","Urban",19.18884,5.451375,0.284090909090909,1.06
"USA","US dollar","USD","Long Island, NY","Suburban",13.301355,5.451375,0.40983606557377,1.06
"USA","US dollar","USD","Boston","Urban",16.57218,5.451375,0.328947368421053,1.06
"USA","US dollar","USD","San Francisco","Urban",18.8137854,5.451375,0.289754288363468,1.06
"USA","US dollar","USD","Westlake Village","Suburban",15.6476268,5.451375,0.348383500557414,1.06
"USA","US dollar","USD","Los Angeles","Urban",17.4444,5.451375,0.3125,1.06
"Denmark","Danish Krone","DKK","Copenhagen","Urban",20.06535,5.35076,0.266666666666667,2.13
"Denmark","Danish Krone","DKK","Copenhagen","Urban",17.38997,5.35076,0.307692307692308,2.13
"France","Euro","EUR","Lyon","Urban",10,5.35,0.535,1.37
"Norway","Norwegian Krone","NOK","Stavanger","Urban",18.9402202274,5.5491636,0.292983055813272,2.49
"Norway","Norwegian Krone","NOK","Bergen","Urban",18.9596423,5.5491636,0.292682926829268,2.49
"Uruguay","Peso Uruguayo","UYU","Salto","Urban",3.4744,5.42875,1.5625,1.2
"USA","US dollar","USD","Kirkland Washington","Urban",16.57218,5.3728752,0.32421052631579,1.06
"UK","Pound Sterling","GBP","Lincoln","Urban",17.26308395,5.354699,0.31018206338503,1.69
"UK","Pound Sterling","GBP","Liverpool","Urban",14.44604665,5.354699,0.370668815471394,1.69
"UK","Pound Sterling","GBP","Liverpool","Urban",14.7836255,5.354699,0.362204724409449,1.69
"UK","Pound Sterling","GBP","London","Urban",18.62504,5.354699,0.2875,1.69
"Belgium","Euro","EUR","Leuven","Urban",15.21,5.3,0.348454963839579,1.33
"Turkey","Turkish Lira","TRY","Istanbul","Urban",2.32245,4.82355,2.07692307692308,1.05
"Norway","Norwegian Krone","NOK","Sandnes","Urban",17.34113625,5.45667754,0.314666666666667,2.49
"Norway","Norwegian Krone","NOK","Bodø","Urban",18.9402202274,5.45667754,0.288100004883051,2.49
"Netherlands","Euro","EUR","Tilburg","Urban",18.5,5.25,0.283783783783784,1.35
"Switzerland","Swiss Franc","CHF","Lucerne","Suburban",24.31468,5.074368,0.208695652173913,2.22
"USA","US dollar","USD","Sacramento","Urban",14.740518,5.2856532,0.358579881656805,1.06
"Denmark","Danish Krone","DKK","Vejle","Urban",18.72766,5.216991,0.278571428571429,2.13
"USA","US dollar","USD","Nashville, TN","Urban",8.7222,5.2682088,0.604,1.06
"USA","US dollar","USD","Nashville, Tn","Urban",11.33886,5.2682088,0.464615384615385,1.06
"Ireland","Euro","EUR","Waterford","Urban",14.05,5.2,0.370106761565836,1.62
"UK","Pound Sterling","GBP","Leeds","Urban",14.21323365,5.2382925,0.368550368550369,1.69
"UK","Pound Sterling","GBP","Near York","Rural",15.7148775,5.2382925,0.333333333333333,1.69
"UK","Pound Sterling","GBP","London","Urban",15.7148775,5.2382925,0.333333333333333,1.69
"UK","Pound Sterling","GBP","Glasgow","Suburban",17.460975,5.2382925,0.3,1.69
"UK","Pound Sterling","GBP","","Rural",14.25979625,5.2382925,0.36734693877551,1.69
"UK","Pound Sterling","GBP","London","Urban",16.58792625,5.2382925,0.31578947368421,1.69
"UK","Pound Sterling","GBP","London","Urban",19.49808875,5.2382925,0.26865671641791,1.69
"UK","Pound Sterling","GBP","London","Urban",19.789105,5.2382925,0.264705882352941,1.69
"UK","Pound Sterling","GBP","London","Urban",23.048487,5.2382925,0.227272727272727,1.69
"UK","Pound Sterling","GBP","London","Urban",16.29691,5.2382925,0.321428571428571,1.69
"UK","Pound Sterling","GBP","","Rural",16.00589375,5.2382925,0.327272727272727,1.69
"UK","Pound Sterling","GBP","Ballymena","Suburban",17.460975,5.2382925,0.3,1.69
"UK","Pound Sterling","GBP","Bristol","Urban",15.7148775,5.2382925,0.333333333333333,1.69
"UK","Pound Sterling","GBP","London","Urban",16.12230025,5.2382925,0.324909747292419,1.69
"USA","US dollar","USD","Dripping Springs, Texas","Suburban",13.0833,5.23332,0.4,1.06
"USA","US dollar","USD","Renton","Suburban",20.93328,5.23332,0.25,1.06
"USA","US dollar","USD","Napa, Ca","Urban",14.740518,5.23332,0.355029585798817,1.06
"USA","US dollar","USD","San Marcos, TX","Urban",5.451375,5.23332,0.96,1.06
"USA","US dollar","USD","Phoenix","Suburban",11.33886,5.23332,0.461538461538462,1.06
"USA","US dollar","USD","West Hollywood, CA","Urban",20.322726,5.23332,0.257510729613734,1.06
"USA","US dollar","USD","Minneapolis","Urban",13.9293534,5.23332,0.375704445835942,1.06
"USA","US dollar","USD","Salt Lake City","Urban",13.95552,5.23332,0.375,1.06
"USA","US dollar","USD","Houghton","Rural",14.653296,5.23332,0.357142857142857,1.06
"USA","US dollar","USD","Houghton, MI","Rural",14.086353,5.23332,0.371517027863777,1.06
"USA","US dollar","USD","Speedway, Indiana","Suburban",16.57218,5.23332,0.31578947368421,1.06
"USA","US dollar","USD","Staunton, VA","Urban",15.69996,5.23332,0.333333333333333,1.06
"USA","US dollar","USD","San Francisco","Urban",21.36939,5.23332,0.244897959183673,1.06
"USA","US dollar","USD","Tulsa, OK","Urban",13.95552,5.23332,0.375,1.06
"USA","US dollar","USD","Nashville","Urban",18.31662,5.23332,0.285714285714286,1.06
"USA","US dollar","USD","New York City","Urban",18.31662,5.23332,0.285714285714286,1.06
"USA","US dollar","USD","Aurora IL","Suburban",15.69996,5.23332,0.333333333333333,1.06
"USA","US dollar","USD","Fayetteville, Ar","Urban",10.46664,5.23332,0.5,1.06
"USA","US dollar","USD","New York City","Urban",17.4444,5.23332,0.3,1.06
"USA","US dollar","USD","San Luis Obispo","Suburban",17.4444,5.23332,0.3,1.06
"USA","US dollar","USD","Los Angeles","Urban",18.31662,5.23332,0.285714285714286,1.06
"USA","US dollar","USD","Wilmington, DE","Suburban",10.90275,5.23332,0.48,1.06
"USA","US dollar","USD","Boston","Urban",16.57218,5.23332,0.31578947368421,1.06
"USA","US dollar","USD","Washington DC","Urban",14.82774,5.23332,0.352941176470588,1.06
"USA","US dollar","USD","Dallas","Urban",13.0833,5.23332,0.4,1.06
"USA","US dollar","USD","","Urban",14.82774,5.23332,0.352941176470588,1.06
"USA","US dollar","USD","Alexandria Virginia","Suburban",17.4444,5.23332,0.3,1.06
"USA","US dollar","USD","","Suburban",15.69996,5.23332,0.333333333333333,1.06
"USA","US dollar","USD","Nashville","Suburban",28.78326,5.23332,0.181818181818182,1.06
"USA","US dollar","USD","","Rural",9.59442,5.23332,0.545454545454545,1.06
"USA","US dollar","USD","New York City","Urban",15.69996,5.23332,0.333333333333333,1.06
"USA","US dollar","USD","Los Angeles","Suburban",15.69996,5.23332,0.333333333333333,1.06
"USA","US dollar","USD","Nashville, TN","Urban",15.69996,5.23332,0.333333333333333,1.06
"USA","US dollar","USD","","Suburban",14.39163,5.23332,0.363636363636364,1.06
"USA","US dollar","USD","New York City","Urban",16.13607,5.2245978,0.323783783783784,1.06
"USA","US dollar","USD","New York City","Urban",12.21108,5.2245978,0.427857142857143,1.06
"Norway","Norwegian Krone","NOK","Oslo","Urban",20.3469332,5.36419148,0.263636363636364,2.49
"Norway","Norwegian Krone","NOK","Oslo","Urban",18.497212,5.36419148,0.29,2.49
"Poland","Zloty","PLN","Warsaw","Urban",10.08414,5.04207,0.5,1.05
"USA","US dollar","USD","Boston","Urban",10.03053,5.189709,0.517391304347826,1.06
"USA","US dollar","USD","Branson",NA,13.95552,5.189709,0.371875,1.06
"USA","US dollar","USD","Los Angeles","Urban",14.82774,5.189709,0.35,1.06
"USA","US dollar","USD","Burlingame","Urban",20.93328,5.1809868,0.2475,1.06
"USA","US dollar","USD","Milwaukee, WI","Urban",27.256875,5.1635424,0.18944,1.06
"Finland","Euro","EUR","Helsinki","Suburban",24,5.1,0.2125,1.37
"Austria","Euro","EUR","Salzburg","Urban",17,5.1,0.3,1.74
"USA","US dollar","USD","Hollywood, FL","Urban",10.46664,5.1373758,0.490833333333333,1.06
"Denmark","Danish Krone","DKK","Silkeborg","Urban",18.72766,5.083222,0.271428571428571,2.13
"UK","Pound Sterling","GBP","London","Urban",17.28636525,5.121886,0.296296296296296,1.69
"UK","Pound Sterling","GBP","London","Urban",15.7148775,5.121886,0.325925925925926,1.69
"UK","Pound Sterling","GBP","Falmouth",NA,16.6461295,5.121886,0.307692307692308,1.69
"UK","Pound Sterling","GBP","Derby","Urban",14.00370195,5.121886,0.365752285951787,1.69
"UK","Pound Sterling","GBP","Edinburgh","Urban",15.4820645,5.121886,0.330827067669173,1.69
"UK","Pound Sterling","GBP","Doncaster","Suburban",14.900032,5.121886,0.34375,1.69
"UK","Pound Sterling","GBP","","Suburban",15.9476905,5.121886,0.321167883211679,1.69
"UK","Pound Sterling","GBP","London","Urban",14.21323365,5.121886,0.36036036036036,1.69
"UK","Pound Sterling","GBP","Cambridge","Urban",14.21323365,5.121886,0.36036036036036,1.69
"UK","Pound Sterling","GBP","Edinburgh","Urban",15.132845,5.121886,0.338461538461538,1.69
"UK","Pound Sterling","GBP","London","Urban",19.2070725,5.121886,0.266666666666667,1.69
"UK","Pound Sterling","GBP","London","Urban",14.3179995,5.121886,0.357723577235772,1.69
"UK","Pound Sterling","GBP","London","Urban",19.9055115,5.121886,0.257309941520468,1.69
"UK","Pound Sterling","GBP","Southampton","Urban",14.42276535,5.121886,0.355125100887813,1.69
"UK","Pound Sterling","GBP","","Urban",14.434406,5.121886,0.354838709677419,1.69
"UK","Pound Sterling","GBP","Southampton","Urban",14.5508125,5.121886,0.352,1.69
"UK","Pound Sterling","GBP","Edinburgh","Urban",14.5508125,5.121886,0.352,1.69
"Sweden","Swedish Krona","SEK","Malmö","Urban",13.71553925,4.86680425,0.354838709677419,1.66
"Sweden","Swedish Krona","SEK","Sundsvall","Urban",13.18461515,4.86680425,0.369127516778524,1.66
"China","Hong Kong Dollar","HKD","Hong Kong","Urban",8.89444,5.114303,0.575,1.77
"Norway","Norwegian Krone","NOK","Bergen","Urban",20.06947502,5.27170542,0.262672811059908,2.49
"Norway","Norwegian Krone","NOK","Trondheim","Urban",18.86715624,5.27170542,0.279411764705882,2.49
"USA","US dollar","USD","New York City","Urban",14.82774,5.0763204,0.342352941176471,1.06
"Canada","Canadian Dollar","CAD","Calgary","Urban",11.20725,4.981,0.444444444444444,2.24
"USA","US dollar","USD","Seattle","Urban",18.1072872,5.0501538,0.278901734104046,1.06
"France","Euro","EUR","Paris","Urban",11.5,5,0.434782608695652,1.37
"France","Euro","EUR","Paris","Urban",12,5,0.416666666666667,1.37
"Germany","Euro","EUR","Berlin","Urban",15,5,0.333333333333333,1.35
"Lithuania","Euro","EUR","Vilnius","Urban",8,5,0.625,1.57
"Greece","Euro","EUR","Athens","Urban",6,5,0.833333333333333,1.75
"France","Euro","EUR","Paris","Urban",12.6,5,0.396825396825397,1.37
"France","Euro","EUR","Paris","Urban",25,5,0.2,1.37
"Germany","Euro","EUR","Hamburg","Urban",32,5,0.15625,1.35
"Finland","Euro","EUR","Helsinki","Urban",16,5,0.3125,1.37
"Germany","Euro","EUR","Dortmund","Urban",20,5,0.25,1.35
"Greece","Euro","EUR","Athens","Urban",2,5,2.5,1.75
"France","Euro","EUR","Paris","Urban",11.83,5,0.422654268808115,1.37
"Netherlands","Euro","EUR","Amsterdam","Urban",23,5,0.217391304347826,1.35
"USA","US dollar","USD","Los Angeles","Urban",17.4444,5.015265,0.2875,1.06
"USA","US dollar","USD","Santa Barbara, CA","Urban",15.69996,5.015265,0.319444444444444,1.06
"USA","US dollar","USD","Seatac","Urban",17.5926774,5.015265,0.285076846802181,1.06
"USA","US dollar","USD","Gresham Oregon","Suburban",14.39163,5.015265,0.348484848484849,1.06
"USA","US dollar","USD","Merced, CA",NA,14.740518,5.015265,0.340236686390533,1.06
"USA","US dollar","USD","Pasadena, CA","Suburban",15.7348488,5.015265,0.318736141906874,1.06
"UK","Pound Sterling","GBP","London","Urban",16.12230025,5.0054795,0.310469314079422,1.69
"UK","Pound Sterling","GBP","London","Urban",19.789105,5.0054795,0.252941176470588,1.69
"UK","Pound Sterling","GBP","London","Urban",18.0430075,5.0054795,0.27741935483871,1.69
"UK","Pound Sterling","GBP","Bath","Urban",15.7148775,5.0054795,0.318518518518518,1.69
"UK","Pound Sterling","GBP","London","Urban",15.0164385,5.0054795,0.333333333333333,1.69
"UK","Pound Sterling","GBP","London","Urban",18.62504,5.0054795,0.26875,1.69
"UK","Pound Sterling","GBP","Belfast","Urban",14.4809686,5.0054795,0.345659163987138,1.69
"China","Hong Kong Dollar","HKD","Hong Kong","Urban",8.3385375,5.0031225,0.6,1.77
"UAE","UAE Dirham","AED","Dubai","Urban",17.098488,4.987059,0.291666666666667,1.75
"USA","US dollar","USD","Seattle","Urban",18.578286,4.971654,0.267605633802817,1.06
"USA","US dollar","USD","Bowing Green Ohio","Rural",8.7222,4.9629318,0.569,1.06
"UK","Pound Sterling","GBP","Edinburgh","Urban",15.132845,4.94727625,0.326923076923077,1.69
"UK","Pound Sterling","GBP","Manchester","Urban",14.21323365,4.94727625,0.348075348075348,1.69
"UK","Pound Sterling","GBP","","Urban",20.3711375,4.94727625,0.242857142857143,1.69
"USA","US dollar","USD","Austin","Urban",16.397736,4.9542096,0.302127659574468,1.06
"Germany","Euro","EUR","Hamburg","Urban",15,4.9,0.326666666666667,1.35
"Germany","Euro","EUR","Oldenburg","Urban",13.9,4.9,0.352517985611511,1.35
"Netherlands","Euro","EUR","Amsterdam","Urban",14.7,4.9,0.333333333333333,1.35
"France","Euro","EUR","Paris","Urban",9.55,4.9,0.513089005235602,1.37
"France","Euro","EUR","Paris","Urban",15,4.9,0.326666666666667,1.37
"USA","US dollar","USD","Boston",NA,15.69996,4.9454874,0.315,1.06
"Norway","Norwegian Krone","NOK","Oslo","Urban",23.121515,5.0867333,0.22,2.49
"Norway","Norwegian Krone","NOK","Stavanger","Urban",18.0347817,5.0867333,0.282051282051282,2.49
"Norway","Norwegian Krone","NOK","Bergen","Urban",21.2717938,5.0867333,0.239130434782609,2.49
"USA","US dollar","USD","Santa Clara","Suburban",20.06106,4.928043,0.245652173913044,1.06
"USA","US dollar","USD","Near Denver CO","Suburban",13.301355,4.928043,0.370491803278689,1.06
"USA","US dollar","USD","Seattle","Urban",19.014396,4.928043,0.259174311926606,1.06
"USA","US dollar","USD","Phoenix","Urban",12.21108,4.9193208,0.402857142857143,1.06
"USA","US dollar","USD","Thousand Oaks","Suburban",15.26385,4.9105986,0.321714285714286,1.06
"UK","Pound Sterling","GBP","Portsmouth","Suburban",15.132845,4.889073,0.323076923076923,1.69
"UK","Pound Sterling","GBP","Bath","Urban",14.5508125,4.889073,0.336,1.69
"UK","Pound Sterling","GBP","London","Urban",14.21323365,4.889073,0.343980343980344,1.69
"UK","Pound Sterling","GBP","Liverpool","Suburban",14.21323365,4.889073,0.343980343980344,1.69
"UK","Pound Sterling","GBP","Lewes","Suburban",15.7148775,4.889073,0.311111111111111,1.69
"UK","Pound Sterling","GBP","Bristol","Urban",16.29691,4.889073,0.3,1.69
"UK","Pound Sterling","GBP","London","Suburban",18.62504,4.889073,0.2625,1.69
"UK","Pound Sterling","GBP","Hastings","Urban",14.21323365,4.889073,0.343980343980344,1.69
"UK","Pound Sterling","GBP","London","Urban",16.12230025,4.889073,0.303249097472924,1.69
"UK","Pound Sterling","GBP","Bristol","Urban",15.132845,4.889073,0.323076923076923,1.69
"UK","Pound Sterling","GBP","Glasgow","Urban",14.79526615,4.889073,0.33044846577498,1.69
"UK","Pound Sterling","GBP","London","Urban",16.29691,4.889073,0.3,1.69
"UK","Pound Sterling","GBP","Poole","Suburban",8.78869075,4.889073,0.556291390728477,1.69
"UK","Pound Sterling","GBP","Newcastle Upon Tyne","Urban",14.21323365,4.889073,0.343980343980344,1.69
"UK","Pound Sterling","GBP","Edinburgh","Urban",14.900032,4.889073,0.328125,1.69
"UK","Pound Sterling","GBP","Manchester","Urban",14.7137816,4.889073,0.332278481012658,1.69
"UK","Pound Sterling","GBP","London","Urban",22.38496995,4.889073,0.218408736349454,1.69
"UK","Pound Sterling","GBP","London","Urban",19.789105,4.889073,0.247058823529412,1.69
"UK","Pound Sterling","GBP","Leeds",NA,14.21323365,4.889073,0.343980343980344,1.69
"UK","Pound Sterling","GBP","Cambridge","Suburban",15.365658,4.889073,0.318181818181818,1.69
"UK","Pound Sterling","GBP","","Rural",15.6450336,4.889073,0.3125,1.69
"UK","Pound Sterling","GBP","London","Urban",14.5508125,4.889073,0.336,1.69
"UK","Pound Sterling","GBP","London","Urban",17.228162,4.889073,0.283783783783784,1.69
"UK","Pound Sterling","GBP","London","Urban",17.1117555,4.889073,0.285714285714286,1.69
"UK","Pound Sterling","GBP","London","Urban",17.460975,4.889073,0.28,1.69
"UK","Pound Sterling","GBP","Belfast","Urban",14.21323365,4.889073,0.343980343980344,1.69
"UK","Pound Sterling","GBP","Farnham","Suburban",16.762536,4.889073,0.291666666666667,1.69
"UK","Pound Sterling","GBP","Bristol","Urban",14.21323365,4.889073,0.343980343980344,1.69
